117	 234	 3
0	1	11613	18300
1	1	11613	18300
2	1	11613	18288
3	1	11613	16673
4	1	11613	12752
5	1	11613	11380
6	1	11613	10620
7	1	11613	10155
8	1	11613	9564
9	1	11613	9027
10	1	11613	8710
11	1	11613	8435
12	1	11613	8356
13	1	11613	8235
14	1	11613	8082
15	1	11613	7785
16	1	11613	7727
17	1	11613	7592
18	1	11613	7440
19	1	11613	7246
20	1	11613	7347
21	1	11613	7251
22	1	11613	7266
23	1	11613	7046
24	1	11613	6950
25	1	11613	6831
26	1	11613	6780
27	1	11613	6858
28	1	11613	6618
29	1	11613	6580
30	1	11613	6525
31	1	11613	6484
32	1	11613	6406
33	1	11613	6283
34	1	11613	6167
35	1	11613	6177
36	1	11613	6137
37	1	11613	6052
38	1	11613	6078
39	1	11613	6130
40	1	11613	5983
41	1	11613	5766
42	1	11613	5720
43	1	11613	5684
44	1	11613	5833
45	1	11613	5787
46	1	11613	5687
47	1	11613	5698
48	1	11613	5602
49	1	11613	5513
50	1	11613	5429
51	1	11613	5477
52	1	11613	5377
53	1	11613	5385
54	1	11613	5302
55	1	11613	5055
56	1	11613	5094
57	1	11613	5133
58	1	11613	5188
59	1	11613	5068
60	1	11613	5081
61	1	11613	5044
62	1	11613	4944
63	1	11613	4899
64	1	11613	4718
65	1	11613	4778
66	1	11613	4659
67	1	11613	4665
68	1	11613	4591
69	1	11613	4506
70	1	11613	4374
71	1	11613	4459
72	1	11613	4343
73	1	11613	4197
74	1	11613	4175
75	1	11613	4137
76	1	11613	3917
77	1	11613	3988
78	1	11613	3773
79	1	11613	3824
80	1	11613	3687
81	1	11613	3650
82	1	11613	3568
83	1	11613	3480
84	1	11613	3446
85	1	11613	3158
86	1	11613	3031
87	1	11613	2958
88	1	11613	2572
89	1	11613	2551
90	1	11613	2436
91	1	11613	2266
92	1	11613	2102
93	1	11613	1866
94	1	11613	1774
95	1	11613	1626
96	1	11613	1344
97	1	11613	1174
98	1	11613	943
99	1	11613	843
100	1	11613	599
0	2	11608	18233
1	2	11608	18233
2	2	11608	18188
3	2	11608	17396
4	2	11608	12712
5	2	11608	11302
6	2	11608	10460
7	2	11608	9998
8	2	11608	9526
9	2	11608	9193
10	2	11608	8856
11	2	11608	8564
12	2	11608	8374
13	2	11608	8146
14	2	11608	8154
15	2	11608	8022
16	2	11608	7854
17	2	11608	7703
18	2	11608	7686
19	2	11608	7583
20	2	11608	7438
21	2	11608	7414
22	2	11608	7313
23	2	11608	7148
24	2	11608	6968
25	2	11608	6774
26	2	11608	6727
27	2	11608	6775
28	2	11608	6680
29	2	11608	6729
30	2	11608	6551
31	2	11608	6643
32	2	11608	6592
33	2	11608	6448
34	2	11608	6330
35	2	11608	6286
36	2	11608	6356
37	2	11608	6238
38	2	11608	6095
39	2	11608	6132
40	2	11608	6008
41	2	11608	5884
42	2	11608	5850
43	2	11608	5936
44	2	11608	5927
45	2	11608	5868
46	2	11608	5776
47	2	11608	5644
48	2	11608	5741
49	2	11608	5775
50	2	11608	5706
51	2	11608	5694
52	2	11608	5582
53	2	11608	5554
54	2	11608	5458
55	2	11608	5476
56	2	11608	5437
57	2	11608	5466
58	2	11608	5243
59	2	11608	5230
60	2	11608	5341
61	2	11608	5239
62	2	11608	5173
63	2	11608	4988
64	2	11608	4967
65	2	11608	4812
66	2	11608	4729
67	2	11608	4634
68	2	11608	4720
69	2	11608	4581
70	2	11608	4592
71	2	11608	4497
72	2	11608	4554
73	2	11608	4359
74	2	11608	4207
75	2	11608	4160
76	2	11608	4114
77	2	11608	3899
78	2	11608	3823
79	2	11608	3767
80	2	11608	3704
81	2	11608	3517
82	2	11608	3388
83	2	11608	3461
84	2	11608	3264
85	2	11608	3279
86	2	11608	3012
87	2	11608	2948
88	2	11608	2759
89	2	11608	2662
90	2	11608	2404
91	2	11608	2223
92	2	11608	2054
93	2	11608	1782
94	2	11608	1593
95	2	11608	1417
96	2	11608	1137
97	2	11608	1010
98	2	11608	825
99	2	11608	710
100	2	11608	483
