15	 30	 3
0	1	76687	105946
1	1	76687	105946
2	1	76687	105957
3	1	76687	104809
4	1	76687	106453
5	1	76687	108945
6	1	76687	109907
7	1	76687	108980
8	1	76687	108534
9	1	76687	107991
10	1	76687	108122
11	1	76687	108334
12	1	76687	108243
13	1	76687	108618
14	1	76687	107739
15	1	76687	108115
16	1	76687	106975
17	1	76687	106311
18	1	76687	105604
19	1	76687	104512
20	1	76687	104267
21	1	76687	103325
22	1	76687	101378
23	1	76687	100903
24	1	76687	99741
25	1	76687	97469
26	1	76687	96778
27	1	76687	96064
28	1	76687	94218
29	1	76687	93361
30	1	76687	92326
31	1	76687	90728
32	1	76687	90534
33	1	76687	89604
34	1	76687	88796
35	1	76687	87882
36	1	76687	87184
37	1	76687	86964
38	1	76687	86156
39	1	76687	86265
40	1	76687	85430
41	1	76687	84289
42	1	76687	84193
43	1	76687	83862
44	1	76687	83238
45	1	76687	82600
46	1	76687	81856
47	1	76687	81707
48	1	76687	81462
49	1	76687	80688
50	1	76687	80730
51	1	76687	80801
52	1	76687	79773
53	1	76687	79255
54	1	76687	78572
55	1	76687	78160
56	1	76687	77916
57	1	76687	77997
58	1	76687	76647
59	1	76687	76224
60	1	76687	76075
61	1	76687	75213
62	1	76687	74861
63	1	76687	74732
64	1	76687	73995
65	1	76687	72928
66	1	76687	72579
67	1	76687	71668
68	1	76687	71272
69	1	76687	70706
70	1	76687	69633
71	1	76687	69210
72	1	76687	68761
73	1	76687	67986
74	1	76687	66452
75	1	76687	66545
76	1	76687	65490
77	1	76687	64068
78	1	76687	63261
79	1	76687	62522
80	1	76687	62216
81	1	76687	60395
82	1	76687	59693
83	1	76687	58464
84	1	76687	57991
85	1	76687	56827
86	1	76687	55324
87	1	76687	54587
88	1	76687	52870
89	1	76687	51833
90	1	76687	50252
91	1	76687	48469
92	1	76687	47060
93	1	76687	44342
94	1	76687	42322
95	1	76687	39053
96	1	76687	35945
97	1	76687	32110
98	1	76687	28610
99	1	76687	24930
100	1	76687	21747
0	2	76389	105173
1	2	76389	105173
2	2	76389	105180
3	2	76389	103922
4	2	76389	105734
5	2	76389	108009
6	2	76389	108914
7	2	76389	108140
8	2	76389	107820
9	2	76389	107620
10	2	76389	107723
11	2	76389	108084
12	2	76389	108107
13	2	76389	108759
14	2	76389	107952
15	2	76389	108047
16	2	76389	107500
17	2	76389	106711
18	2	76389	106139
19	2	76389	104531
20	2	76389	104517
21	2	76389	103596
22	2	76389	101698
23	2	76389	100837
24	2	76389	100243
25	2	76389	98612
26	2	76389	97238
27	2	76389	95085
28	2	76389	93837
29	2	76389	92719
30	2	76389	91801
31	2	76389	90333
32	2	76389	90602
33	2	76389	88691
34	2	76389	87655
35	2	76389	87346
36	2	76389	86303
37	2	76389	86300
38	2	76389	85160
39	2	76389	85081
40	2	76389	84725
41	2	76389	84394
42	2	76389	83415
43	2	76389	83017
44	2	76389	82665
45	2	76389	81872
46	2	76389	81366
47	2	76389	81370
48	2	76389	81084
49	2	76389	80151
50	2	76389	79974
51	2	76389	80142
52	2	76389	79068
53	2	76389	78509
54	2	76389	78335
55	2	76389	77537
56	2	76389	76590
57	2	76389	76270
58	2	76389	75932
59	2	76389	75587
60	2	76389	75681
61	2	76389	74842
62	2	76389	74544
63	2	76389	74085
64	2	76389	73218
65	2	76389	72521
66	2	76389	72451
67	2	76389	71712
68	2	76389	70546
69	2	76389	70345
70	2	76389	68973
71	2	76389	68331
72	2	76389	67993
73	2	76389	67724
74	2	76389	65803
75	2	76389	65771
76	2	76389	65117
77	2	76389	63314
78	2	76389	63080
79	2	76389	62649
80	2	76389	61497
81	2	76389	60371
82	2	76389	59314
83	2	76389	58179
84	2	76389	57132
85	2	76389	56067
86	2	76389	55062
87	2	76389	54226
88	2	76389	52639
89	2	76389	51514
90	2	76389	49779
91	2	76389	48137
92	2	76389	46452
93	2	76389	44048
94	2	76389	41512
95	2	76389	39098
96	2	76389	35836
97	2	76389	31831
98	2	76389	27830
99	2	76389	22759
100	2	76389	17320
0	3	76064	105065
1	3	76064	105065
2	3	76064	105053
3	3	76064	104344
4	3	76064	105626
5	3	76064	107734
6	3	76064	108498
7	3	76064	108297
8	3	76064	107572
9	3	76064	107702
10	3	76064	107873
11	3	76064	108160
12	3	76064	108084
13	3	76064	108348
14	3	76064	107517
15	3	76064	107535
16	3	76064	106904
17	3	76064	105924
18	3	76064	105380
19	3	76064	103623
20	3	76064	103849
21	3	76064	102526
22	3	76064	101360
23	3	76064	100574
24	3	76064	99777
25	3	76064	97169
26	3	76064	96451
27	3	76064	94564
28	3	76064	93330
29	3	76064	92598
30	3	76064	91915
31	3	76064	90745
32	3	76064	90374
33	3	76064	88326
34	3	76064	87677
35	3	76064	86372
36	3	76064	85833
37	3	76064	86162
38	3	76064	84764
39	3	76064	84608
40	3	76064	84783
41	3	76064	84016
42	3	76064	83347
43	3	76064	82833
44	3	76064	82600
45	3	76064	81789
46	3	76064	80767
47	3	76064	80584
48	3	76064	80162
49	3	76064	79294
50	3	76064	79177
51	3	76064	79201
52	3	76064	78302
53	3	76064	78043
54	3	76064	77783
55	3	76064	76751
56	3	76064	76426
57	3	76064	75788
58	3	76064	75749
59	3	76064	75221
60	3	76064	74607
61	3	76064	73904
62	3	76064	73689
63	3	76064	73098
64	3	76064	72496
65	3	76064	72053
66	3	76064	71639
67	3	76064	70935
68	3	76064	69669
69	3	76064	69390
70	3	76064	68755
71	3	76064	67841
72	3	76064	67541
73	3	76064	66820
74	3	76064	65515
75	3	76064	65599
76	3	76064	64921
77	3	76064	63348
78	3	76064	62823
79	3	76064	62437
80	3	76064	61280
81	3	76064	59947
82	3	76064	59129
83	3	76064	57628
84	3	76064	56504
85	3	76064	56383
86	3	76064	54856
87	3	76064	54017
88	3	76064	52030
89	3	76064	51111
90	3	76064	48569
91	3	76064	47500
92	3	76064	45826
93	3	76064	43683
94	3	76064	41256
95	3	76064	38221
96	3	76064	36037
97	3	76064	31801
98	3	76064	27850
99	3	76064	24622
100	3	76064	21698
0	4	75720	104551
1	4	75720	104551
2	4	75720	104565
3	4	75720	103340
4	4	75720	104914
5	4	75720	107284
6	4	75720	108202
7	4	75720	107542
8	4	75720	106326
9	4	75720	106612
10	4	75720	107327
11	4	75720	107088
12	4	75720	106934
13	4	75720	107233
14	4	75720	106556
15	4	75720	106578
16	4	75720	105995
17	4	75720	104885
18	4	75720	104583
19	4	75720	103876
20	4	75720	103963
21	4	75720	102441
22	4	75720	100159
23	4	75720	100623
24	4	75720	99886
25	4	75720	96767
26	4	75720	95785
27	4	75720	95026
28	4	75720	93180
29	4	75720	92478
30	4	75720	91281
31	4	75720	90185
32	4	75720	89469
33	4	75720	87813
34	4	75720	87077
35	4	75720	86149
36	4	75720	85882
37	4	75720	85765
38	4	75720	84416
39	4	75720	84270
40	4	75720	84222
41	4	75720	82785
42	4	75720	82489
43	4	75720	82189
44	4	75720	81841
45	4	75720	81330
46	4	75720	80821
47	4	75720	80695
48	4	75720	80276
49	4	75720	79274
50	4	75720	79423
51	4	75720	79469
52	4	75720	78143
53	4	75720	77849
54	4	75720	77716
55	4	75720	77047
56	4	75720	76480
57	4	75720	75860
58	4	75720	75942
59	4	75720	74924
60	4	75720	74715
61	4	75720	74062
62	4	75720	73417
63	4	75720	72907
64	4	75720	72350
65	4	75720	71927
66	4	75720	71350
67	4	75720	70817
68	4	75720	70095
69	4	75720	69014
70	4	75720	68646
71	4	75720	67661
72	4	75720	67315
73	4	75720	66852
74	4	75720	65318
75	4	75720	65112
76	4	75720	64806
77	4	75720	63182
78	4	75720	62762
79	4	75720	61975
80	4	75720	61217
81	4	75720	59314
82	4	75720	58941
83	4	75720	57282
84	4	75720	56828
85	4	75720	56010
86	4	75720	54898
87	4	75720	53768
88	4	75720	52116
89	4	75720	50668
90	4	75720	49032
91	4	75720	47361
92	4	75720	46130
93	4	75720	44006
94	4	75720	41038
95	4	75720	38512
96	4	75720	35139
97	4	75720	31298
98	4	75720	27268
99	4	75720	22602
100	4	75720	16711
0	5	75419	103725
1	5	75419	103725
2	5	75419	103706
3	5	75419	102634
4	5	75419	104486
5	5	75419	106964
6	5	75419	107613
7	5	75419	107180
8	5	75419	106034
9	5	75419	106128
10	5	75419	106159
11	5	75419	106171
12	5	75419	105837
13	5	75419	106439
14	5	75419	106530
15	5	75419	106318
16	5	75419	105944
17	5	75419	105063
18	5	75419	103931
19	5	75419	102994
20	5	75419	102126
21	5	75419	101211
22	5	75419	99719
23	5	75419	98927
24	5	75419	99035
25	5	75419	96256
26	5	75419	95252
27	5	75419	93916
28	5	75419	92055
29	5	75419	91499
30	5	75419	90325
31	5	75419	89233
32	5	75419	88915
33	5	75419	87330
34	5	75419	86789
35	5	75419	85794
36	5	75419	85578
37	5	75419	85820
38	5	75419	85158
39	5	75419	84220
40	5	75419	83907
41	5	75419	83364
42	5	75419	82680
43	5	75419	82206
44	5	75419	81559
45	5	75419	81701
46	5	75419	80881
47	5	75419	80570
48	5	75419	79772
49	5	75419	78980
50	5	75419	79166
51	5	75419	79162
52	5	75419	77982
53	5	75419	77336
54	5	75419	77247
55	5	75419	77029
56	5	75419	76170
57	5	75419	75372
58	5	75419	75352
59	5	75419	75074
60	5	75419	74835
61	5	75419	73649
62	5	75419	73064
63	5	75419	72696
64	5	75419	72703
65	5	75419	71812
66	5	75419	71070
67	5	75419	70666
68	5	75419	69360
69	5	75419	68973
70	5	75419	68507
71	5	75419	67406
72	5	75419	67369
73	5	75419	66547
74	5	75419	65200
75	5	75419	65009
76	5	75419	64438
77	5	75419	62601
78	5	75419	62101
79	5	75419	61146
80	5	75419	60866
81	5	75419	59425
82	5	75419	58543
83	5	75419	57450
84	5	75419	56280
85	5	75419	55651
86	5	75419	53907
87	5	75419	53142
88	5	75419	51390
89	5	75419	50065
90	5	75419	48731
91	5	75419	47174
92	5	75419	45805
93	5	75419	44144
94	5	75419	41539
95	5	75419	38693
96	5	75419	35229
97	5	75419	31412
98	5	75419	27905
99	5	75419	24458
100	5	75419	21992
0	6	75092	103577
1	6	75092	103577
2	6	75092	103578
3	6	75092	102351
4	6	75092	104779
5	6	75092	106486
6	6	75092	106823
7	6	75092	106439
8	6	75092	106055
9	6	75092	106320
10	6	75092	106000
11	6	75092	106104
12	6	75092	106044
13	6	75092	106262
14	6	75092	105714
15	6	75092	106003
16	6	75092	105034
17	6	75092	104454
18	6	75092	104194
19	6	75092	102390
20	6	75092	102700
21	6	75092	100788
22	6	75092	99276
23	6	75092	98392
24	6	75092	98276
25	6	75092	95201
26	6	75092	94479
27	6	75092	93558
28	6	75092	91667
29	6	75092	91400
30	6	75092	89871
31	6	75092	88935
32	6	75092	88143
33	6	75092	87198
