16	 32	 3
0	1	93309	101974
1	1	93309	101974
2	1	93309	101974
3	1	93309	102054
4	1	93309	103421
5	1	93309	106544
6	1	93309	108924
7	1	93309	109043
8	1	93309	110626
9	1	93309	112955
10	1	93309	113808
11	1	93309	114916
12	1	93309	115927
13	1	93309	116526
14	1	93309	117037
15	1	93309	117270
16	1	93309	118521
17	1	93309	118063
18	1	93309	116049
19	1	93309	115342
20	1	93309	114379
21	1	93309	113407
22	1	93309	111371
23	1	93309	110282
24	1	93309	109048
25	1	93309	106725
26	1	93309	107460
27	1	93309	106898
28	1	93309	105353
29	1	93309	105242
30	1	93309	105402
31	1	93309	104823
32	1	93309	103861
33	1	93309	103576
34	1	93309	103311
35	1	93309	103486
36	1	93309	102134
37	1	93309	101981
38	1	93309	101751
39	1	93309	101092
40	1	93309	100853
41	1	93309	100394
42	1	93309	99357
43	1	93309	99545
44	1	93309	99503
45	1	93309	98870
46	1	93309	98155
47	1	93309	97961
48	1	93309	97431
49	1	93309	97228
50	1	93309	97196
51	1	93309	97254
52	1	93309	96148
53	1	93309	95758
54	1	93309	95636
55	1	93309	95593
56	1	93309	94699
57	1	93309	93886
58	1	93309	93580
59	1	93309	93293
60	1	93309	92963
61	1	93309	92141
62	1	93309	91843
63	1	93309	91144
64	1	93309	90823
65	1	93309	90081
66	1	93309	89955
67	1	93309	89372
68	1	93309	88190
69	1	93309	87645
70	1	93309	86578
71	1	93309	86030
72	1	93309	85480
73	1	93309	84716
74	1	93309	83230
75	1	93309	83044
76	1	93309	82402
77	1	93309	80349
78	1	93309	79664
79	1	93309	78930
80	1	93309	77878
81	1	93309	76069
82	1	93309	75783
83	1	93309	73566
84	1	93309	72270
85	1	93309	71403
86	1	93309	69332
87	1	93309	67881
88	1	93309	65491
89	1	93309	63989
90	1	93309	61594
91	1	93309	59929
92	1	93309	57725
93	1	93309	54888
94	1	93309	51848
95	1	93309	48415
96	1	93309	43963
97	1	93309	39706
98	1	93309	35300
99	1	93309	31525
100	1	93309	28108
0	2	92869	101429
1	2	92869	101429
2	2	92869	101443
3	2	92869	101605
4	2	92869	102830
5	2	92869	106351
6	2	92869	107848
7	2	92869	108492
8	2	92869	110262
9	2	92869	112718
10	2	92869	113629
11	2	92869	114346
12	2	92869	115711
13	2	92869	115878
14	2	92869	116247
15	2	92869	117013
16	2	92869	117437
17	2	92869	116368
18	2	92869	115177
19	2	92869	114311
20	2	92869	113546
21	2	92869	111713
22	2	92869	109816
23	2	92869	109283
24	2	92869	107772
25	2	92869	105099
26	2	92869	106293
27	2	92869	106193
28	2	92869	104678
29	2	92869	104896
30	2	92869	104625
31	2	92869	104149
32	2	92869	103422
33	2	92869	102885
34	2	92869	102595
35	2	92869	102446
36	2	92869	102354
37	2	92869	102157
38	2	92869	101283
39	2	92869	101199
40	2	92869	100690
41	2	92869	100082
42	2	92869	99737
43	2	92869	100107
44	2	92869	99221
45	2	92869	98831
46	2	92869	98290
47	2	92869	98059
48	2	92869	97467
49	2	92869	97308
50	2	92869	97276
51	2	92869	97127
52	2	92869	96027
53	2	92869	95407
54	2	92869	95444
55	2	92869	94937
56	2	92869	94443
57	2	92869	93847
58	2	92869	92809
59	2	92869	92667
60	2	92869	92282
