10	 20	 3
0	1	128491	141123
1	1	128491	141123
2	1	128491	141122
3	1	128491	141431
4	1	128491	143496
5	1	128491	145497
6	1	128491	147887
7	1	128491	147842
8	1	128491	147956
9	1	128491	149810
10	1	128491	151466
11	1	128491	151711
12	1	128491	152102
13	1	128491	152705
14	1	128491	153292
15	1	128491	153685
16	1	128491	154909
17	1	128491	155216
18	1	128491	155251
19	1	128491	155353
20	1	128491	155278
21	1	128491	155705
22	1	128491	155842
23	1	128491	154785
24	1	128491	155127
25	1	128491	154114
26	1	128491	154921
27	1	128491	154076
28	1	128491	152512
29	1	128491	152700
30	1	128491	152411
31	1	128491	152398
32	1	128491	151055
33	1	128491	151196
34	1	128491	151506
35	1	128491	148447
36	1	128491	147063
37	1	128491	147112
38	1	128491	146069
39	1	128491	145701
40	1	128491	145331
41	1	128491	145120
42	1	128491	145218
43	1	128491	144793
44	1	128491	144060
45	1	128491	143893
46	1	128491	143048
47	1	128491	142613
48	1	128491	142063
49	1	128491	141363
50	1	128491	141310
51	1	128491	141231
52	1	128491	140267
53	1	128491	140096
54	1	128491	139636
55	1	128491	138795
56	1	128491	138585
57	1	128491	138153
58	1	128491	137293
59	1	128491	136976
60	1	128491	136560
61	1	128491	135530
62	1	128491	135028
63	1	128491	134315
64	1	128491	133808
65	1	128491	132741
66	1	128491	132407
67	1	128491	131804
68	1	128491	130079
69	1	128491	129681
70	1	128491	128658
71	1	128491	128251
72	1	128491	127477
73	1	128491	126456
74	1	128491	124437
75	1	128491	124087
76	1	128491	123493
77	1	128491	121298
78	1	128491	120366
79	1	128491	119548
80	1	128491	118644
81	1	128491	115604
82	1	128491	115169
83	1	128491	112607
84	1	128491	110997
85	1	128491	108890
86	1	128491	106919
87	1	128491	104890
88	1	128491	102506
89	1	128491	100301
90	1	128491	96503
91	1	128491	93621
92	1	128491	90933
93	1	128491	86778
94	1	128491	82155
95	1	128491	77928
96	1	128491	71683
97	1	128491	64432
98	1	128491	57765
99	1	128491	51387
100	1	128491	45504
0	2	128033	140973
1	2	128033	140973
2	2	128033	140990
3	2	128033	141311
4	2	128033	143437
5	2	128033	145216
6	2	128033	147604
7	2	128033	147592
8	2	128033	147843
9	2	128033	148978
10	2	128033	151296
11	2	128033	151180
12	2	128033	152098
13	2	128033	152274
14	2	128033	152692
15	2	128033	153140
16	2	128033	154029
17	2	128033	154838
18	2	128033	155113
19	2	128033	154814
20	2	128033	154929
21	2	128033	156157
22	2	128033	155914
23	2	128033	155184
24	2	128033	155080
25	2	128033	154601
26	2	128033	154944
27	2	128033	153940
28	2	128033	153132
29	2	128033	153380
30	2	128033	153443
31	2	128033	153087
32	2	128033	151479
33	2	128033	152138
34	2	128033	151860
35	2	128033	148565
36	2	128033	147179
37	2	128033	147130
38	2	128033	146080
39	2	128033	145021
40	2	128033	144848
41	2	128033	144076
42	2	128033	144171
43	2	128033	143945
44	2	128033	142635
45	2	128033	142329
46	2	128033	141252
47	2	128033	140963
48	2	128033	140741
49	2	128033	139926
50	2	128033	139945
51	2	128033	139902
52	2	128033	138874
53	2	128033	138683
54	2	128033	138000
55	2	128033	137439
56	2	128033	137167
57	2	128033	136490
58	2	128033	135800
59	2	128033	135427
60	2	128033	135134
61	2	128033	134459
62	2	128033	133728
63	2	128033	132952
64	2	128033	132793
65	2	128033	131828
66	2	128033	131695
67	2	128033	131017
68	2	128033	129488
69	2	128033	129279
70	2	128033	128395
71	2	128033	127741
72	2	128033	127143
73	2	128033	125728
74	2	128033	124457
75	2	128033	124241
76	2	128033	123230
77	2	128033	121039
78	2	128033	120553
79	2	128033	119288
80	2	128033	117734
81	2	128033	115691
82	2	128033	114643
83	2	128033	112064
84	2	128033	110782
85	2	128033	109047
86	2	128033	106815
87	2	128033	105093
88	2	128033	102693
89	2	128033	100266
90	2	128033	97232
91	2	128033	93157
92	2	128033	91026
93	2	128033	86168
94	2	128033	82041
95	2	128033	77273
96	2	128033	71134
97	2	128033	63657
98	2	128033	56821
99	2	128033	46453
100	2	128033	35064
0	3	127610	140463
1	3	127610	140463
2	3	127610	140457
3	3	127610	140847
4	3	127610	142651
5	3	127610	144670
6	3	127610	146656
