12	 24	 3
0	1	117502	136376
1	1	117502	136376
2	1	117502	136380
3	1	117502	137216
4	1	117502	139203
5	1	117502	141547
6	1	117502	141841
7	1	117502	142639
8	1	117502	141347
9	1	117502	140521
10	1	117502	139686
11	1	117502	139517
12	1	117502	138435
13	1	117502	137075
14	1	117502	136166
15	1	117502	135849
16	1	117502	134337
17	1	117502	133470
18	1	117502	132500
19	1	117502	130744
20	1	117502	129436
21	1	117502	128134
22	1	117502	126360
23	1	117502	124365
24	1	117502	123445
25	1	117502	121737
26	1	117502	120556
27	1	117502	118234
28	1	117502	116910
29	1	117502	115917
30	1	117502	115258
31	1	117502	113579
32	1	117502	111954
33	1	117502	110601
34	1	117502	110101
35	1	117502	109266
36	1	117502	108037
37	1	117502	107769
38	1	117502	106214
39	1	117502	105595
40	1	117502	105142
41	1	117502	103462
42	1	117502	103319
43	1	117502	102812
44	1	117502	102354
45	1	117502	101510
46	1	117502	100086
47	1	117502	99519
48	1	117502	99290
49	1	117502	97683
50	1	117502	97513
51	1	117502	97344
52	1	117502	95856
53	1	117502	95793
54	1	117502	95630
55	1	117502	94807
56	1	117502	93748
57	1	117502	93049
58	1	117502	91921
59	1	117502	91494
60	1	117502	90685
61	1	117502	89927
62	1	117502	89402
63	1	117502	87769
64	1	117502	87619
65	1	117502	86429
66	1	117502	85876
67	1	117502	84818
68	1	117502	83415
69	1	117502	82919
70	1	117502	81550
71	1	117502	81029
72	1	117502	80322
73	1	117502	79917
74	1	117502	77117
75	1	117502	76729
76	1	117502	76171
77	1	117502	73547
78	1	117502	72914
79	1	117502	71674
80	1	117502	70484
81	1	117502	68646
82	1	117502	67789
83	1	117502	65952
84	1	117502	64524
85	1	117502	63247
86	1	117502	61392
87	1	117502	60433
88	1	117502	57659
89	1	117502	56152
90	1	117502	54017
91	1	117502	51368
92	1	117502	49528
93	1	117502	46483
94	1	117502	43846
95	1	117502	40620
96	1	117502	36455
97	1	117502	31841
98	1	117502	28397
99	1	117502	24648
100	1	117502	21573
0	2	116975	135193
1	2	116975	135193
2	2	116975	135173
3	2	116975	136607
4	2	116975	139226
5	2	116975	141289
6	2	116975	142171
7	2	116975	142470
8	2	116975	141217
9	2	116975	140661
10	2	116975	139408
11	2	116975	139238
12	2	116975	136985
13	2	116975	136272
14	2	116975	135714
15	2	116975	134610
16	2	116975	133201
17	2	116975	132122
18	2	116975	130720
19	2	116975	128933
20	2	116975	128872
21	2	116975	126967
22	2	116975	124547
23	2	116975	123404
24	2	116975	122624
25	2	116975	120478
26	2	116975	119891
27	2	116975	117867
28	2	116975	116114
29	2	116975	115240
30	2	116975	113989
31	2	116975	112754
32	2	116975	111460
33	2	116975	110277
34	2	116975	109331
35	2	116975	108083
36	2	116975	107024
37	2	116975	106749
38	2	116975	105248
39	2	116975	104526
40	2	116975	104061
41	2	116975	103351
42	2	116975	102744
43	2	116975	102088
44	2	116975	100847
45	2	116975	100469
46	2	116975	99141
47	2	116975	98734
48	2	116975	97875
49	2	116975	96756
50	2	116975	96711
51	2	116975	96599
52	2	116975	95056
53	2	116975	94532
54	2	116975	94064
55	2	116975	93208
56	2	116975	92765
57	2	116975	92087
58	2	116975	91110
59	2	116975	90557
60	2	116975	89845
61	2	116975	88802
62	2	116975	88519
63	2	116975	87788
64	2	116975	86871
65	2	116975	85350
66	2	116975	84624
67	2	116975	83862
68	2	116975	83070
69	2	116975	82607
70	2	116975	80882
71	2	116975	79915
72	2	116975	79118
73	2	116975	78335
74	2	116975	76659
75	2	116975	76542
76	2	116975	75411
77	2	116975	73776
78	2	116975	73255
79	2	116975	72282
80	2	116975	71332
81	2	116975	68431
82	2	116975	67059
83	2	116975	66079
84	2	116975	64705
85	2	116975	63548
86	2	116975	61756
87	2	116975	59978
88	2	116975	57925
89	2	116975	56201
90	2	116975	53495
91	2	116975	51445
92	2	116975	49178
93	2	116975	46674
94	2	116975	43536
95	2	116975	40744
96	2	116975	36127
97	2	116975	31541
98	2	116975	27083
99	2	116975	21791
100	2	116975	15415
0	3	116475	135213
1	3	116475	135213
2	3	116475	135225
3	3	116475	135555
4	3	116475	138010
5	3	116475	140267
6	3	116475	140781
7	3	116475	141424
8	3	116475	140303
9	3	116475	140011
10	3	116475	138199
11	3	116475	138295
12	3	116475	136966
13	3	116475	136361
14	3	116475	135701
15	3	116475	134340
16	3	116475	132498
17	3	116475	131741
18	3	116475	130078
19	3	116475	128419
20	3	116475	127801
21	3	116475	126023
22	3	116475	124363
23	3	116475	123207
24	3	116475	122075
25	3	116475	119825
26	3	116475	118505
27	3	116475	117099
28	3	116475	115498
29	3	116475	115140
30	3	116475	114343
31	3	116475	112508
32	3	116475	110919
33	3	116475	109340
34	3	116475	108603
35	3	116475	107592
36	3	116475	105994
