8	 16	 3
0	1	127952	149235
1	1	127952	149235
2	1	127952	149231
3	1	127952	149277
4	1	127952	152522
5	1	127952	154210
6	1	127952	155676
7	1	127952	154532
8	1	127952	153972
9	1	127952	154212
10	1	127952	152365
11	1	127952	152281
12	1	127952	151130
13	1	127952	149954
14	1	127952	149140
15	1	127952	148023
16	1	127952	146530
17	1	127952	145593
18	1	127952	144451
19	1	127952	144114
20	1	127952	142507
21	1	127952	141147
22	1	127952	140248
23	1	127952	139976
24	1	127952	137944
25	1	127952	137663
26	1	127952	137349
27	1	127952	135964
28	1	127952	134395
29	1	127952	133954
30	1	127952	133301
31	1	127952	133088
32	1	127952	131901
33	1	127952	131782
34	1	127952	131496
35	1	127952	128546
36	1	127952	127000
37	1	127952	126807
38	1	127952	125470
39	1	127952	124796
40	1	127952	124737
41	1	127952	123261
42	1	127952	122987
43	1	127952	122554
44	1	127952	120707
45	1	127952	120253
46	1	127952	119431
47	1	127952	119080
48	1	127952	118765
49	1	127952	117335
50	1	127952	117384
51	1	127952	117182
52	1	127952	116210
53	1	127952	115647
54	1	127952	115395
55	1	127952	114272
56	1	127952	113967
57	1	127952	113286
58	1	127952	112495
59	1	127952	111922
60	1	127952	111541
61	1	127952	110254
62	1	127952	110055
63	1	127952	109119
64	1	127952	108857
65	1	127952	107348
66	1	127952	106327
67	1	127952	105882
68	1	127952	104372
69	1	127952	103991
70	1	127952	102904
71	1	127952	101522
72	1	127952	100931
73	1	127952	100206
74	1	127952	98707
75	1	127952	98402
76	1	127952	97315
77	1	127952	95748
78	1	127952	94907
79	1	127952	93711
80	1	127952	92969
81	1	127952	90977
82	1	127952	90138
83	1	127952	88398
84	1	127952	87371
85	1	127952	85981
86	1	127952	83565
87	1	127952	81989
88	1	127952	80005
89	1	127952	77902
90	1	127952	75436
91	1	127952	72278
92	1	127952	69882
93	1	127952	66031
94	1	127952	62439
95	1	127952	58219
96	1	127952	53164
97	1	127952	47190
98	1	127952	42017
99	1	127952	36625
100	1	127952	32195
0	2	127532	148710
1	2	127532	148710
2	2	127532	148714
3	2	127532	149089
4	2	127532	151853
5	2	127532	154560
6	2	127532	154485
7	2	127532	154214
8	2	127532	154037
9	2	127532	153531
10	2	127532	151810
11	2	127532	150867
12	2	127532	149711
13	2	127532	148859
14	2	127532	147559
15	2	127532	146510
16	2	127532	145820
17	2	127532	145096
18	2	127532	143941
19	2	127532	143196
20	2	127532	141893
21	2	127532	140872
22	2	127532	139304
23	2	127532	139214
24	2	127532	138069
25	2	127532	137392
26	2	127532	136580
27	2	127532	135201
28	2	127532	134193
29	2	127532	133658
30	2	127532	132863
31	2	127532	132222
32	2	127532	130919
33	2	127532	131403
34	2	127532	130749
35	2	127532	128542
36	2	127532	126916
37	2	127532	126941
38	2	127532	125081
39	2	127532	124595
40	2	127532	123859
41	2	127532	122692
42	2	127532	122491
43	2	127532	122205
44	2	127532	120628
45	2	127532	120530
46	2	127532	119554
47	2	127532	118981
48	2	127532	119057
49	2	127532	117325
50	2	127532	117056
51	2	127532	116853
52	2	127532	115531
53	2	127532	114958
54	2	127532	114679
55	2	127532	113908
56	2	127532	113450
57	2	127532	113184
58	2	127532	112314
59	2	127532	111777
60	2	127532	110989
61	2	127532	109600
62	2	127532	109151
63	2	127532	108693
64	2	127532	108257
65	2	127532	106714
66	2	127532	106580
67	2	127532	105127
68	2	127532	104250
69	2	127532	103771
70	2	127532	102636
71	2	127532	101614
72	2	127532	100998
73	2	127532	100273
74	2	127532	98816
75	2	127532	98464
76	2	127532	97548
77	2	127532	95574
78	2	127532	94965
79	2	127532	93497
80	2	127532	92558
81	2	127532	90672
82	2	127532	89725
83	2	127532	87851
84	2	127532	86231
85	2	127532	85341
86	2	127532	83307
87	2	127532	81638
88	2	127532	79272
89	2	127532	77495
90	2	127532	75137
91	2	127532	72070
92	2	127532	69611
93	2	127532	66080
94	2	127532	62258
95	2	127532	57926
96	2	127532	52290
97	2	127532	46703
98	2	127532	40789
99	2	127532	33663
100	2	127532	24591
0	3	127071	147914
1	3	127071	147914
2	3	127071	147893
3	3	127071	147577
4	3	127071	150781
5	3	127071	153333
6	3	127071	154247
7	3	127071	153580
8	3	127071	152522
9	3	127071	152867
10	3	127071	151797
11	3	127071	150782
12	3	127071	149327
13	3	127071	149183
14	3	127071	147577
15	3	127071	146346
16	3	127071	145437
17	3	127071	144246
18	3	127071	143212
19	3	127071	142472
20	3	127071	141156
21	3	127071	140062
22	3	127071	139332
23	3	127071	138836
24	3	127071	137359
25	3	127071	136096
26	3	127071	135455
27	3	127071	134683
28	3	127071	133017
29	3	127071	132584
30	3	127071	132426
31	3	127071	131552
32	3	127071	130199
33	3	127071	130570
34	3	127071	129531
35	3	127071	127264
36	3	127071	125769
37	3	127071	125662
38	3	127071	124010
39	3	127071	123899
40	3	127071	123827
41	3	127071	122328
42	3	127071	121964
43	3	127071	121372
44	3	127071	119910
45	3	127071	119625
46	3	127071	118545
47	3	127071	118107
48	3	127071	118001
49	3	127071	116272
50	3	127071	116109
51	3	127071	116020
52	3	127071	115079
53	3	127071	114602
54	3	127071	114284
55	3	127071	113778
56	3	127071	112995
57	3	127071	112707
58	3	127071	111868
59	3	127071	111236
60	3	127071	110715
61	3	127071	109877
62	3	127071	109190
63	3	127071	108378
64	3	127071	107767
65	3	127071	106843
66	3	127071	106260
67	3	127071	105723
68	3	127071	104551
69	3	127071	103483
70	3	127071	102568
71	3	127071	101458
72	3	127071	100717
73	3	127071	99819
74	3	127071	98630
75	3	127071	98474
76	3	127071	98060
77	3	127071	95881
78	3	127071	94963
79	3	127071	93402
80	3	127071	92164
81	3	127071	90593
82	3	127071	89387
83	3	127071	87884
84	3	127071	86219
