82	 164	 3
0	1	67138	95743
1	1	67138	95743
2	1	67138	95898
3	1	67138	99320
4	1	67138	93045
5	1	67138	87383
6	1	67138	83556
7	1	67138	81251
8	1	67138	78283
9	1	67138	76165
10	1	67138	73301
11	1	67138	70833
12	1	67138	68592
13	1	67138	66977
14	1	67138	65374
15	1	67138	63785
16	1	67138	62016
17	1	67138	60874
18	1	67138	59144
19	1	67138	58433
20	1	67138	57107
21	1	67138	55463
22	1	67138	54651
23	1	67138	53890
24	1	67138	52802
25	1	67138	51943
26	1	67138	51409
27	1	67138	50097
28	1	67138	49714
29	1	67138	48906
30	1	67138	48272
31	1	67138	47843
32	1	67138	47136
33	1	67138	46796
34	1	67138	45840
35	1	67138	45395
36	1	67138	45165
37	1	67138	44804
38	1	67138	44182
39	1	67138	43557
40	1	67138	43477
41	1	67138	42827
42	1	67138	42679
43	1	67138	42681
44	1	67138	42231
45	1	67138	41790
46	1	67138	41423
47	1	67138	41174
48	1	67138	41299
49	1	67138	40451
50	1	67138	40368
51	1	67138	40129
52	1	67138	39543
53	1	67138	39320
54	1	67138	39082
55	1	67138	38737
56	1	67138	38136
57	1	67138	38024
58	1	67138	37325
59	1	67138	37236
60	1	67138	36816
61	1	67138	36738
62	1	67138	36157
63	1	67138	35858
64	1	67138	35554
65	1	67138	34960
66	1	67138	34360
67	1	67138	34120
68	1	67138	33352
69	1	67138	33045
70	1	67138	32502
71	1	67138	32041
72	1	67138	31491
73	1	67138	31461
74	1	67138	30910
75	1	67138	30633
76	1	67138	30255
77	1	67138	29567
78	1	67138	29344
79	1	67138	28607
80	1	67138	28011
81	1	67138	27672
82	1	67138	26982
83	1	67138	26489
84	1	67138	25263
85	1	67138	24566
86	1	67138	23738
87	1	67138	23192
88	1	67138	21878
89	1	67138	21258
90	1	67138	20568
91	1	67138	19261
92	1	67138	18492
93	1	67138	17292
94	1	67138	16098
95	1	67138	14552
96	1	67138	12664
97	1	67138	11040
98	1	67138	9239
99	1	67138	7715
100	1	67138	6977
0	2	66841	95407
1	2	66841	95407
2	2	66841	95616
3	2	66841	98607
4	2	66841	94168
5	2	66841	87606
6	2	66841	83330
7	2	66841	80843
8	2	66841	78741
9	2	66841	76073
10	2	66841	73575
11	2	66841	70426
12	2	66841	69284
13	2	66841	66993
14	2	66841	64792
15	2	66841	63082
16	2	66841	61681
17	2	66841	60472
18	2	66841	58948
19	2	66841	57951
20	2	66841	56590
21	2	66841	55478
22	2	66841	54665
23	2	66841	53507
24	2	66841	52488
25	2	66841	51710
26	2	66841	50764
27	2	66841	50436
28	2	66841	49717
29	2	66841	49164
30	2	66841	48288
31	2	66841	47887
32	2	66841	47329
33	2	66841	46360
34	2	66841	45937
35	2	66841	45278
36	2	66841	44463
37	2	66841	44333
38	2	66841	43886
39	2	66841	43863
40	2	66841	43610
41	2	66841	42553
42	2	66841	42709
43	2	66841	42506
44	2	66841	41468
45	2	66841	41391
46	2	66841	40759
47	2	66841	40637
48	2	66841	40403
49	2	66841	39862
50	2	66841	39699
51	2	66841	39574
52	2	66841	39193
53	2	66841	39096
54	2	66841	38540
55	2	66841	38111
56	2	66841	37855
57	2	66841	37740
58	2	66841	37425
59	2	66841	36942
60	2	66841	36390
61	2	66841	36188
62	2	66841	35791
63	2	66841	35558
64	2	66841	35153
65	2	66841	34282
66	2	66841	34136
67	2	66841	33490
68	2	66841	33071
69	2	66841	32677
70	2	66841	32348
71	2	66841	31927
72	2	66841	31996
73	2	66841	31150
74	2	66841	30375
75	2	66841	29976
76	2	66841	29604
77	2	66841	29018
78	2	66841	28552
79	2	66841	28597
80	2	66841	27829
81	2	66841	27076
82	2	66841	26683
83	2	66841	25813
84	2	66841	25427
85	2	66841	24628
86	2	66841	23663
87	2	66841	22793
88	2	66841	21707
89	2	66841	20913
90	2	66841	20244
91	2	66841	18841
92	2	66841	17720
93	2	66841	17154
94	2	66841	15825
95	2	66841	14409
96	2	66841	12461
97	2	66841	10637
98	2	66841	8768
99	2	66841	7273
100	2	66841	5900
0	3	66525	95106
1	3	66525	95106
2	3	66525	95344
3	3	66525	97900
4	3	66525	93637
5	3	66525	87284
6	3	66525	83848
7	3	66525	81263
8	3	66525	77702
9	3	66525	75220
10	3	66525	72556
11	3	66525	70245
12	3	66525	68115
13	3	66525	66143
14	3	66525	64604
15	3	66525	63295
16	3	66525	61663
17	3	66525	59617
18	3	66525	58422
19	3	66525	57249
20	3	66525	56512
21	3	66525	54623
22	3	66525	53737
23	3	66525	52834
24	3	66525	51572
25	3	66525	51209
26	3	66525	50552
27	3	66525	49808
28	3	66525	49114
29	3	66525	48754
30	3	66525	47701
31	3	66525	47181
32	3	66525	46507
33	3	66525	45633
34	3	66525	45363
35	3	66525	45091
36	3	66525	44901
37	3	66525	44557
38	3	66525	43603
39	3	66525	43153
40	3	66525	42949
41	3	66525	42599
42	3	66525	42177
43	3	66525	41784
44	3	66525	41512
45	3	66525	41364
46	3	66525	40904
47	3	66525	40623
48	3	66525	40409
49	3	66525	39517
50	3	66525	39399
51	3	66525	39212
52	3	66525	39122
53	3	66525	38524
54	3	66525	38256
55	3	66525	38206
56	3	66525	37732
57	3	66525	37357
58	3	66525	36655
59	3	66525	36500
60	3	66525	36314
61	3	66525	35941
62	3	66525	35491
63	3	66525	34951
64	3	66525	34547
65	3	66525	33992
66	3	66525	33766
67	3	66525	33467
68	3	66525	32838
69	3	66525	32598
70	3	66525	32460
71	3	66525	32103
72	3	66525	31641
73	3	66525	31336
74	3	66525	30389
75	3	66525	30047
76	3	66525	29715
77	3	66525	29021
78	3	66525	28648
79	3	66525	28127
80	3	66525	27633
81	3	66525	27053
82	3	66525	26681
83	3	66525	25910
84	3	66525	25090
85	3	66525	24644
