27	 54	 3
0	1	104675	122477
1	1	104675	122477
2	1	104675	122472
3	1	104675	123244
4	1	104675	126521
5	1	104675	130336
6	1	104675	131158
7	1	104675	132906
8	1	104675	133648
9	1	104675	134172
10	1	104675	133326
11	1	104675	132398
12	1	104675	129424
13	1	104675	126877
14	1	104675	125381
15	1	104675	123502
16	1	104675	120674
17	1	104675	118762
18	1	104675	117391
19	1	104675	116148
20	1	104675	115899
21	1	104675	114552
22	1	104675	113102
23	1	104675	112206
24	1	104675	110784
25	1	104675	110042
26	1	104675	108560
27	1	104675	107685
28	1	104675	106243
29	1	104675	105642
30	1	104675	104757
31	1	104675	103721
32	1	104675	103081
33	1	104675	101976
34	1	104675	101348
35	1	104675	100596
36	1	104675	99351
37	1	104675	99065
38	1	104675	98204
39	1	104675	97706
40	1	104675	97306
41	1	104675	96066
42	1	104675	95536
43	1	104675	95028
44	1	104675	93993
45	1	104675	93656
46	1	104675	92775
47	1	104675	92383
48	1	104675	92192
49	1	104675	90943
50	1	104675	90845
51	1	104675	90765
52	1	104675	89159
53	1	104675	88767
54	1	104675	88705
55	1	104675	88230
56	1	104675	87046
57	1	104675	86751
58	1	104675	85576
59	1	104675	84712
60	1	104675	84044
61	1	104675	83428
62	1	104675	82976
63	1	104675	81998
64	1	104675	81611
65	1	104675	80948
66	1	104675	80157
67	1	104675	79542
68	1	104675	78273
69	1	104675	77958
70	1	104675	76240
71	1	104675	75488
72	1	104675	74760
73	1	104675	74156
74	1	104675	72150
75	1	104675	72058
76	1	104675	70817
77	1	104675	69507
78	1	104675	68505
79	1	104675	67557
80	1	104675	66471
81	1	104675	64879
82	1	104675	63936
83	1	104675	62388
84	1	104675	61221
85	1	104675	60067
86	1	104675	58161
87	1	104675	56810
